,block optimize,full optimize,H,beta_factor
0,"[[0.5542442990671382, 0.5542442990671382, 0.6278746408626649, 0.6318608452198592, 0.6353576692365037, 0.6384054659971833, 0.6410450919615593, 0.6423498766624206, 0.6423498766624203]]","[[0.5696221788932055, 0.6290372015524031, 0.6498377906789546, 0.6507038941023686, 0.6509475259601197, 0.6510383727837845, 0.6510793405848276, 0.6510978472684246, 0.6511073873782698, 0.6511126092639085, 0.6511155324013452, 0.6511172450179842, 0.6511182895354991, 0.6511189530170368]]",250.0,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.6441166573061773, 0.6484708309090798, 0.6523053167571923, 0.6556605639397906, 0.6585733308366273, 0.6610933205607633, 0.6627828609985127, 0.6627828609985122]]","[[0.5696221788932055, 0.6432496395501347, 0.6676882374560091, 0.6688236291503988, 0.6690796952243022, 0.6691774334246322, 0.6692218065264313, 0.6692452392574487, 0.6692580754888331, 0.6692642332609237, 0.6692677304573176, 0.6692697269938892, 0.6692706744650222]]",318.56874642578344,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.6633045067425902, 0.6680226139452935, 0.6721936049609867, 0.6758532212917487, 0.6790509531472425, 0.6818250382338216, 0.6842170386981783, 0.6862674550730677, 0.6867840417019523, 0.6867840417019523]]","[[0.5696221788932055, 0.6603082358688604, 0.6887648675413958, 0.6903901735075786, 0.6907056350098664, 0.6908058251902788, 0.6908460945338549, 0.6908637990227537, 0.6908721390642208, 0.690876318977262, 0.6908784913453122, 0.6908796557113891, 0.6908802970107559]]",405.9441847971804,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.6856703828009247, 0.6907070951620361, 0.6951789117788318, 0.6991221043877609, 0.7025777224690507, 0.7055875418552924, 0.7081933107207306, 0.7104360353562722, 0.7123553357810231, 0.7139843969147079, 0.7143289266420527, 0.7143289266420525]]","[[0.5696221788932055, 0.6805249045330468, 0.713019836627878, 0.7155414967223057, 0.716002216818585, 0.7161287811983166, 0.716174729256387, 0.716193490234623, 0.7161994555677521, 0.7162029512900838, 0.7162045683522777, 0.7162053353860438]]",517.2845202786974,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.7113333114336837, 0.7166060137100291, 0.721300276080637, 0.7254546074041879, 0.7291090386975934, 0.7323044667507639, 0.7350819814692808, 0.7374822027009955, 0.7395410214270377, 0.7413029194649232, 0.7428006366367438, 0.7440674674027679, 0.7450454694557043, 0.7450454694557054]]","[[0.5696221788932055, 0.704122798289545, 0.7395954423916666, 0.7441174878127754, 0.7447990729061437, 0.7449788253989451, 0.7450352291267017, 0.7450545574258592, 0.7450618052819522, 0.7450646905106066, 0.7450658740960696, 0.7450663709435519]]",659.1627246825896,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.740250246110519, 0.7456119769513809, 0.7504002371516785, 0.7546519675245899, 0.7584054556256009, 0.7616998239664032, 0.7645744814721744, 0.7670685568597824, 0.7692170492780708, 0.7710628892407064, 0.7726384267065347, 0.7739765793039302, 0.7751077977133048, 0.7760598930617397, 0.7768579625769001, 0.7775244027048174, 0.7780650343488033, 0.7780650343488031]]","[[0.5696221788932055, 0.731181737793825, 0.7673922029935597, 0.7756449394401634, 0.7765381298365985, 0.7767691789076869, 0.7768349433790137, 0.7768553065260578, 0.7768622989508516, 0.7768648155459342, 0.776865745843859]]",839.9545715709454,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.7721142383846149, 0.7773719311976016, 0.7820802362569352, 0.7862738269566831, 0.7899883795879858, 0.7932602239900657, 0.7961259446157761, 0.7986219427958593, 0.8007810179081087, 0.8026432749880472, 0.804239363437833, 0.8056005813389768, 0.8067560773854687, 0.8077326537520504, 0.8085546572065099, 0.8092439530739282, 0.8098199712148278, 0.8102998099693939, 0.8106983829108535, 0.8110285938095421, 0.8113015268905099, 0.8115231093344504, 0.8117081480210614, 0.8118601850042084, 0.8119727590981611, 0.8119727590981607]]","[[0.5696221788932055, 0.7615473391818054, 0.7963417501588165, 0.808935661290884, 0.8102886110891018, 0.8105308411494587, 0.8105941295096202, 0.8106124770060311, 0.8106181369976345, 0.8106199634477764, 0.8106205751507166]]",1070.3330996798484,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.8062829764759538, 0.811212255906248, 0.8156374137033517, 0.8195899349720851, 0.823101891082131, 0.8262057441298655, 0.828931851534155, 0.8313168388932617, 0.8333906781900361, 0.8351844684089775, 0.8367281115486079, 0.8380499955359145, 0.8391767280040697, 0.8401329353936937, 0.8409411345057497, 0.8416216764202701, 0.8421927567024983, 0.8426704816688975, 0.8430689783152444, 0.8434005350816868, 0.8436757615050756, 0.8439037564942464, 0.8440922770199069, 0.8442449395415635, 0.8443730166469583, 0.8444784291908173, 0.8445650853748685, 0.8446362476060789, 0.8446946314412093, 0.8447424915600029, 0.8447816958220973, 0.8448137885915498, 0.8448400445455682, 0.8448615141522334, 0.8448790619297033, 0.8448933985043439, 0.8449051073800811, 0.8449146672243282, 0.8449224703727106, 0.8449288381590152, 0.8449340335895169, 0.8449382718031502, 0.8449417286910659, 0.8449445479895603, 0.8449468471098149, 0.8449487219242128, 0.8449502506922497, 0.8449514972780495, 0.8449525137852509, 0.8449533427134216, 0.8449540187217668, 0.8449545700709354, 0.8449550198010916, 0.8449553866941306, 0.8449556860592483, 0.8449559303741131, 0.8449561298080539, 0.8449562926487948, 0.8449564256504889, 0.8449565343175331, 0.8449566231358681, 0.8449566957615856, 0.8449567551745975, 0.8449568038038914, 0.8449568436295478, 0.8449568762659208, 0.8449569030293422, 0.8449569249933384, 0.844956943033547, 0.8449569578643694, 0.8449569700687924, 0.8449569801226884, 0.8449569884146085]]","[[0.5696221788932055, 0.79475259306877, 0.8272089497996342, 0.8421831938443244, 0.8445586842751734, 0.8448761646461873, 0.8449396692303758, 0.8449554845877275, 0.8449597382366205, 0.8449609636705163, 0.8449613301331087]]",1363.8986952921298,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.8417028991077389, 0.8460801524682882, 0.8500186127586304, 0.8535455460294266, 0.8566884283883391, 0.8594748718148095, 0.8619324984198014, 0.864088763037326, 0.8659707313042895, 0.867604827014129, 0.8690165673055981, 0.8702303062639389, 0.8712690064494204, 0.8721540540927102, 0.8729051281254161, 0.8735401270211108, 0.8740751517084305, 0.8745245383636107, 0.8749009320569594, 0.87521539099637, 0.8754775112005871, 0.8756955624470495, 0.8758766278699284, 0.8760267412995568, 0.8761510180958407, 0.8762513505150182, 0.8763360841436594, 0.8764059869157463, 0.8764636039760053, 0.8765110576382934, 0.8765501137613371, 0.8765822387994983, 0.8766086485172095, 0.8766303493536709, 0.8766481733798505, 0.876662807720407, 0.8766748192303329, 0.8766846751294702, 0.8766927602120052, 0.8766993911670808, 0.8767048284720798, 0.8767092862530599, 0.8767129404476215, 0.8767159355535281, 0.8767183902017541, 0.876720401753996, 0.8767220500920972, 0.8767234007388953, 0.8767245074266476, 0.8767254142096137, 0.8767261572005944, 0.8767267659977633, 0.876727264856541, 0.8767276736515861, 0.8767280086663409, 0.876728283240765, 0.8767285083026417, 0.876728692803221, 0.8767288440744082, 0.8767289681215131, 0.8767290698631808, 0.8767291533279968, 0.8767292218155716, 0.8767292780284892, 0.8767293241803831, 0.876729362084494, 0.8767293932261541, 0.8767294188221764, 0.876729439869472, 0.8767294571848694, 0.8767294714377198, 0.8767294831765968, 0.876729492851147]]","[[0.5696221788932055, 0.8299215433426598, 0.8590915383375748, 0.8735792720665547, 0.8776049278172293, 0.8781366899100794, 0.8782259267826512, 0.878244337728119, 0.8782484582818723, 0.8782494797011562, 0.8782497480074923]]",1737.9819904439014,1.5
0,"[[0.5542442990671382, 0.5542442990671382, 0.8769023825973759, 0.8805452164842598, 0.8838298039311016, 0.886778298631475, 0.8894128167567331, 0.8917554372131536, 0.8938281586010028, 0.8956528108248019, 0.897250924504298, 0.8986435666322137, 0.8998511553804375, 0.9008932697002008, 0.9017884698520007, 0.9025541431975783, 0.9032063859562516, 0.9037599269855242, 0.9042280949010548, 0.9046228257689575, 0.9049547056563998, 0.9052330406622672, 0.9054659465542458, 0.9056604505414113, 0.9058225986912776, 0.9059575637616972, 0.9060697495319155, 0.9061610245834057, 0.9062381651910107, 0.906302072718961, 0.9063549736550298, 0.906398731950435, 0.9064349046676494, 0.9064647900542612, 0.9064894687858449, 0.9065098391419782, 0.9065266468596084, 0.9065405103630921, 0.9065519420107568, 0.9065613659324355, 0.9065691329658794, 0.9065755331357712, 0.9065808060595738, 0.9065851496100562, 0.9065887271162352, 0.9065916733416961, 0.9065940994425763, 0.906596097075318, 0.9065977417972284, 0.9065990958794934, 0.9066002106326959, 0.9066011283282065, 0.9066018837848889, 0.9066025056788498, 0.9066030176241506, 0.9066034390642289, 0.9066037860069209, 0.9066040716304347, 0.9066043067827203, 0.9066045003930082, 0.9066046598107551, 0.9066047910849343, 0.9066048991939615, 0.9066049882350768, 0.9066050615802453, 0.906605122004545, 0.9066051717917927, 0.9066052128215505, 0.906605246640692, 0.906605274522315, 0.9066052975142413, 0.9066053164789121, 0.9066053321262122, 0.9066053450404941, 0.9066053557028073, 0.9066053645091894]]","[[0.5696221788932055, 0.8657101137263734, 0.8906254541611205, 0.9027386647235324, 0.907833298641574, 0.9087649902270566, 0.9089110114456016, 0.9089380158391418, 0.9089435756985045, 0.908944913619559, 0.9089452504807196]]",2214.666976025206,1.5
