,beta_factor,init_cond,magnetisation,m1,m2,m3,susB1,susB2,susB3,m_fp_convergence
0,0.5,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",3.924210813901115e-06,0.23811860783777025,3.4831605207320744e-06,-0.23811031836584928,0.5635195761004493,0.604059203373074,0.5635229952467397,"[0.3591510186401927, 0.1227907829396998, 0.043475641500262056, 0.01548076379887022, 0.005515269827278513, 0.0019635384843227264, 0.0006983784696111273, 0.00024815302004114564, 8.809657517770224e-05, 3.125006238168434e-05, 1.1077356958359244e-05, 3.924210813901115e-06]"
0,0.6875,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",4.470555630557242e-06,0.377098191493367,4.88282118824125e-06,-0.3770896626476636,0.5364918310906951,0.6514184351888491,0.5364984039762507,"[0.3591510186401927, 0.1631584081902898, 0.07707960670219116, 0.0366509046090485, 0.017435356631737065, 0.008284176284353203, 0.003929194334334178, 0.0018601384169310748, 0.000879047922846247, 0.0004147451011800585, 0.00019540684823140161, 9.195507903769773e-05, 4.3228449818040936e-05, 2.0304517965992936e-05, 9.530287265654044e-06, 4.470555630557242e-06]"
0,0.875,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",9.087881839027942e-06,0.5333261359292844,1.2671706113443625e-05,-0.5333115439898807,0.47522923541398493,0.7404712297197257,0.47524681142033603,"[0.3591510186401927, 0.19759328867795914, 0.1117154464890651, 0.06308935374587094, 0.03551632576206561, 0.01993306328901819, 0.0111534601657202, 0.0062226106752856225, 0.00346225788150889, 0.0019218105902190825, 0.001064596452188112, 0.0005887611025752933, 0.00032517305009760467, 0.00017940432629093284, 9.889966089826618e-05, 5.448554670980007e-05, 3.0002443080157093e-05, 1.6514705378075274e-05, 9.087881839027942e-06]"
0,1.0625,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",1.351461087180835e-05,0.6762151755440001,2.4450813897705367e-05,-0.6761990825252824,0.37093460877266166,0.8513502517644252,0.37095857563253903,"[0.3591510186401927, 0.2258474308421938, 0.14234042858038035, 0.08850565710286425, 0.05477131178949205, 0.033861615442518866, 0.020916120615997014, 0.012901113509426946, 0.007943796366403041, 0.004883279061665265, 0.002997666136453988, 0.0018381106890221766, 0.001126152656665232, 0.0006895413013009444, 0.00042202510977851215, 0.0002582192336633149, 0.00015796181668559228, 9.661786655205488e-05, 5.909137680134199e-05, 3.6138099527997326e-05, 2.2099876586856304e-05, 1.351461087180835e-05]"
0,1.25,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",2.0592278315819296e-05,0.7840847987092234,4.5159130751473267e-05,-0.7840681810050274,0.25184372572092395,0.9344179552537784,0.25186866163608357,"[0.3591510186401927, 0.24841667299982953, 0.1669021204858425, 0.10996682783731138, 0.07297610010902962, 0.048991251107889856, 0.03311914430848961, 0.022454727020362625, 0.015237202363296695, 0.010339829305912004, 0.007014959710157938, 0.0047580669491325, 0.0032266273231418285, 0.0021877780011560675, 0.0014832463703542038, 0.0010055257936256723, 0.0006816366618963196, 0.0004620608641228152, 0.0003132105903951299, 0.0002123086471925347, 0.00014391130332924718, 9.754823846445475e-05, 6.612141541821141e-05, 4.481915142987939e-05, 3.0379756811564167e-05, 2.0592278315819296e-05]"
0,1.4375,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",2.415187503645999e-05,0.8574546555419351,5.947998363011926e-05,-0.8574416799004558,0.1556451056841748,0.9754710502165556,0.15566255576076157,"[0.3591510186401927, 0.266172631038778, 0.18585203626466695, 0.1285127666218131, 0.09199181793525413, 0.0677318402939886, 0.05055387499312921, 0.037945888653702076, 0.028547431917108994, 0.02149734432617763, 0.016195128531921805, 0.012202963732375616, 0.009195631462695678, 0.006929648136275983, 0.005222082663791501, 0.003935269722668444, 0.0029655252820948905, 0.0022347282161629214, 0.0016840074083821117, 0.0012689952422499557, 0.0009562540038910624, 0.000720583556548989, 0.0005429923324980305, 0.0004091680333230263, 0.00030832493828725216, 0.00023233509114469383, 0.00017507347557976782, 0.00013192449249825136, 9.941001910388862e-05, 7.490910606366974e-05, 5.64467404972809e-05, 4.25346604107831e-05, 3.2051396377260254e-05, 2.415187503645999e-05]"
0,1.625,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",4.546657354705571e-05,0.9056134005876082,0.00011994010751514278,-0.9055969409744822,0.09185020822521503,0.9915259026854103,0.09186905655805258,"[0.3591510186401927, 0.2800848088221926, 0.20074081321701873, 0.14637951532879848, 0.11401080739079017, 0.0922126014751216, 0.07574166683553944, 0.06263080379298414, 0.051970058067966986, 0.04321450579232966, 0.03598321024425274, 0.029989614015374293, 0.025010111520920513, 0.020866440719387074, 0.017414474201607095, 0.014536543692066473, 0.012135924336826384, 0.010132724389267747, 0.008460733175062796, 0.007064948980887238, 0.005899606471988061, 0.004926582222995875, 0.0041140935880191005, 0.0034356296304896006, 0.002869068407876337, 0.0023959455945673134, 0.0020008470183230007, 0.0016709032568872721, 0.0013953686498754763, 0.0011652703391966297, 0.0009731155240735312, 0.0008126471798685087, 0.0006786401636352061, 0.0005667309987407535, 0.0004732757582757152, 0.0003952313991588315, 0.0003300566720276417, 0.00027562937470078835, 0.00023017725202389983, 0.00019222029077081704, 0.00016052253008917253, 0.00013405181819969858, 0.0001119462049752699, 9.348587616386794e-05, 7.806971548078116e-05, 6.519573147837725e-05, 5.444471193098247e-05, 4.546657354705571e-05]"
0,1.8125,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.00010981765528939036,0.9370786128993545,0.00030223136229958224,-0.9370513912957859,0.052929676750602755,0.9971931376170301,0.052955600351422015,"[0.3591510186401927, 0.2910559975406169, 0.21314806606238693, 0.16499471501979548, 0.13947729034828038, 0.12243022243770758, 0.10902644767690599, 0.09781675736869584, 0.08819878700047364, 0.07982497483645616, 0.07245849831419367, 0.06592611992008579, 0.06009629890731124, 0.05486652703166961, 0.05015521686629069, 0.04589624243006211, 0.042035149170693877, 0.03852645935936905, 0.03533171720010612, 0.03241804510568358, 0.029757060259098595, 0.02732404956939945, 0.025097332838757775, 0.02305776494328667, 0.021188341997602705, 0.019473886209504854, 0.017900790930436023, 0.016456812224670807, 0.015130896737906427, 0.013913038157095806, 0.012794156396470155, 0.011765995010462271, 0.010821033355085921, 0.00995241078839515, 0.009153860784238743, 0.008419653279345426, 0.007744543916489266, 0.007123729111513673, 0.006552806078130025, 0.006027737105642379, 0.005544817511581646, 0.0051006467915675575, 0.00469210256855294, 0.004316317007518111, 0.003970655413161735, 0.003652696769876377, 0.0033602160173622866, 0.003091167883236934, 0.0028436721171803216, 0.0026159999904853035, 0.002406561941124948, 0.0022138962581932007, 0.00203665871129155, 0.0018736130404958622, 0.0017236222312345673, 0.0015856405059750573, 0.0014587059712444599, 0.0013419338643382666, 0.001234510349241121, 0.0011356868158687676, 0.0010447746408483634, 0.0009611403717278607, 0.0008842012998178476, 0.0008134213898534082, 0.0007483075373696524, 0.0006884061271330196, 0.0006332998682014498, 0.00058260488321397, 0.0005359680313610227, 0.000493064446175473, 0.0004535952708300354, 0.0004172855750365449, 0.0003838824389404971, 0.0003531531905857828, 0.0003248837846142605, 0.00029887731086131186, 0.0002749526224230155, 0.0002529430736114187, 0.0002326953589865862, 0.0002140684453623883, 0.00019693258933369448, 0.0001811684334726745, 0.0001666661748911761, 0.0001533248003722972, 0.0001410513827384552, 0.00012976043355298708, 0.00011937330764214919, 0.00010981765528939036]"
0,2.0,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.051169589161350094,0.9619159749795618,0.14465099042196305,-0.9530581979174746,0.028349035089044548,0.998961538576331,0.03566758549060149,"[0.3591510186401927, 0.2998479831710074, 0.2242281579145549, 0.18460368933901902, 0.16722652877401903, 0.15626840661930555, 0.14772608889067787, 0.14061101643058982, 0.13453037344041505, 0.12925221258939776, 0.12461559962006523, 0.12050209860355376, 0.11682188266591605, 0.11350534264488406, 0.11049757392999619, 0.10775460534479968, 0.10524074857743593, 0.10292669363791988, 0.10078811394711906, 0.09880462723384624, 0.09695900966109783, 0.09523659329965965, 0.0936247984258326, 0.09211276636570413, 0.09069106829027263, 0.08935147205932092, 0.08808675391241043, 0.08689054515383714, 0.08575720639543653, 0.08468172368723785, 0.0836596221711315, 0.08268689386741508, 0.08175993693917342, 0.08087550433891844, 0.08003066017139589, 0.07922274243881951, 0.07844933109394177, 0.07770822052988151, 0.07699739579652791, 0.07631501196136015, 0.07565937613500022, 0.07502893176431362, 0.07442224486265159, 0.07383799190115788, 0.07327494912948788, 0.07273198313077629, 0.07220804244580308, 0.0717021501262554, 0.07121339709774636, 0.0707409362305933, 0.07028397703089646, 0.06984178087669561, 0.06941365673431228, 0.0689989572987368, 0.06859707550935752, 0.06820744139867034, 0.06782951923702558, 0.06746280494112193, 0.0671068237179474, 0.06676112791931772, 0.06642529508513628, 0.06609892615608111, 0.06578164383866351, 0.06547309110755373, 0.06517292983176952, 0.0648808395128102, 0.06459651612412413, 0.06431967104243826, 0.06405003006248666, 0.06378733248756174, 0.06353133028909268, 0.06328178732915113, 0.06303847864039547, 0.06280118975851068, 0.06256971610268469, 0.06234386240009271, 0.0621234421507472, 0.0619082771294126, 0.06169819692159273, 0.0614930384908724, 0.06129264577514382, 0.061096869309468005, 0.060905565873521805, 0.06071859816176184, 0.060535834474596685, 0.06035714842900634, 0.06018241868718007, 0.06001152870186303, 0.05984436647721103, 0.05968082434405112, 0.059520798748534366, 0.05936419005324948, 0.059210902349939566, 0.05906084328303107, 0.05891392388324609, 0.05877005841062529, 0.05862916420633916, 0.058491161552713646, 0.05835597354093702, 0.058223525945956735, 0.05809374710810885, 0.05796656782105625, 0.05784192122564402, 0.05771974270930528, 0.057599969810679164, 0.057482542129124625, 0.0573674012388371, 0.05725449060729271, 0.05714375551776729, 0.057035142995689535, 0.056928601738608774, 0.05682408204956798, 0.05672153577368969, 0.056620916237792564, 0.0565221781928699, 0.05642527775927094, 0.05633017237443627, 0.056236820743049, 0.056145182789469374, 0.05605521961233181, 0.0559668934411891, 0.05588016759509473, 0.05579500644302304, 0.05571137536603125, 0.05562924072107356, 0.05554856980638286, 0.05546933082834057, 0.0553914928697599, 0.05531502585951124, 0.05523990054342406, 0.05516608845640184, 0.0550935618956907, 0.055022293895246564, 0.054952258201146575, 0.05488342924799683, 0.05481578213628716, 0.05474929261064965, 0.05468393703897819, 0.05461969239236919, 0.054556536225845186, 0.05449444665982639, 0.0544334023623152, 0.05437338253176194, 0.0543143668805813, 0.054256335619290365, 0.05419926944124076, 0.054143149507919174, 0.05408795743479011, 0.05403367527765964, 0.0539802855195353, 0.053927771057962315, 0.05387611519281602, 0.053825301614530106, 0.05377531439274319, 0.053726137965346456, 0.05367775712791478, 0.053630157023506674, 0.05358332313281681, 0.053537241264668446, 0.05349189754682937, 0.053447278417141475, 0.053403370614948854, 0.05336016117281406, 0.05331763740851059, 0.05327578691728089, 0.053234597564349416, 0.05319405747768102, 0.053154155040975315, 0.05311487888688737, 0.05307621789046687, 0.053038161162807206, 0.053000698044896155, 0.05296381810166132, 0.05292751111620272, 0.05289176708420503, 0.05285657620852491, 0.052821928893943215, 0.0527878157420811, 0.05275422754646908, 0.05272115528776744, 0.05268859012913022, 0.05265652341170868, 0.052624946650289016, 0.0525938515290599, 0.05256322989750436, 0.05253307376641355, 0.052503375304015575, 0.05247412683221812, 0.052445320822958684, 0.0524169498946605, 0.052389006808789364, 0.052361484466508346, 0.052334375905427666, 0.052307674296445596, 0.052281372940677806, 0.052255465266472435, 0.05222994482650815, 0.05220480529497129, 0.05218004046481136, 0.052155644245071055, 0.05213161065828845, 0.05210793383797011, 0.05208460802613102, 0.052061627570901416, 0.05203898692419662, 0.05201668063944842, 0.051994703369396746, 0.0519730498639388, 0.0519517149680346, 0.051930693619666256, 0.05190998084785089, 0.051889571770703746, 0.05186946159355125, 0.051849645607092265, 0.05183011918560535, 0.05181087778520177, 0.05179191694212193, 0.05177323227107489, 0.05175481946361837, 0.05173667428657943, 0.05171879258051389, 0.05170117025820331, 0.05168380330318911, 0.051666687768341345, 0.051649819774463444, 0.05163319550892912, 0.051616811224352944, 0.05160066323729181, 0.051584747926978314, 0.05156906173408279, 0.05155360115950506, 0.051538362763195046, 0.051523343162999634, 0.05150853903353728, 0.05149394710509858, 0.0514795641625713, 0.051465387044391186, 0.051451412641515724, 0.051437637896421674, 0.05142405980212561, 0.051410675401225424, 0.05139748178496487, 0.051384476092317444, 0.051371655509091584, 0.05135901726705553, 0.051346558643081276, 0.051334276958307355, 0.0513221695773205, 0.05131023390735375, 0.05129846739750384, 0.05128686753796367, 0.05127543185927256, 0.05126415793158212, 0.051253043363937545, 0.05124208580357462, 0.05123128293523157, 0.05122063248047496, 0.051210132197040216, 0.05119977987818599, 0.0511895733520615, 0.0511795104810876, 0.051169589161350094]"
0,2.1875,"[0.9755886063508306, 0.013189047116860309, 0.0886754024528873]",0.17203371136448178,0.9804041510274335,0.4936447818905132,-0.9579477988245013,0.02358928860512623,0.9982835964815937,0.05360416456656003,"[0.3591510186401927, 0.30706407010539244, 0.23465496368983996, 0.20465256252149158, 0.19526251184258966, 0.19028495594653605, 0.18670038921943818, 0.18391318455980651, 0.18170027647427853, 0.17992611228523792, 0.17849418019325827, 0.17733248068492702, 0.17638611918302827, 0.17561260681068055, 0.17497866051739477, 0.17445795081110663, 0.1740294788255586, 0.17367638371586178, 0.1733850512152072, 0.17314443729248577, 0.17294554827844222, 0.17278103670243508, 0.17264488397902764, 0.17253214915660395, 0.1724387685171478, 0.17236139473399573, 0.17229726709013285, 0.1722441062845589, 0.17220002884160834, 0.17216347724506265, 0.1721331627529387, 0.17210801848448595, 0.17208716086050668, 0.17206985785882897, 0.1720555028454108, 0.17204359297765673, 0.17203371136448178]"
