,Method,beta_factor,field_gradient,mean_mag,init
0,full_mf,0.1,1.0,0.0006571620426707654,+VE
0,full_mf,0.1,1.0,0.0006567794695646815,-VE
0,block_mf,0.1,1.0,0.0006555579209723255,rand
0,block_mf,0.1,1.0,0.000655585967314754,rand
0,block_mf,0.1,1.0,0.0006555866903692351,rand
0,block_mf,0.1,1.0,0.0006555942545462842,rand
0,block_mf,0.1,1.0,0.0006555620968019838,rand
0,block_mf,0.1,1.0,0.0006555989681076856,rand
0,block_mf,0.1,1.0,0.0006556151019151273,rand
0,block_mf,0.1,1.0,0.0006555816031353568,rand
0,block_mf,0.1,1.0,0.0006555952357394571,rand
0,block_mf,0.1,1.0,0.000655604411428362,rand
0,block_mf,0.1,1.0,0.000656164713069774,rand
0,block_mf,0.1,1.0,0.000655570056156389,rand
0,block_mf,0.1,1.0,0.0006555623518437426,rand
0,block_mf,0.1,1.0,0.0006555562049250434,rand
0,block_mf,0.1,1.0,0.0006555708231905732,rand
0,block_mf,0.1,1.0,0.0006555761465447702,rand
0,block_mf,0.1,1.0,0.0006556128026912873,rand
0,block_mf,0.1,1.0,0.0006552279455811607,rand
0,block_mf,0.1,1.0,0.000656104929190767,rand
0,block_mf,0.1,1.0,0.0006556632062042465,rand
0,block_mf,0.1,1.0,0.0006555880455401482,rand
0,block_mf,0.1,1.0,0.0006556128053129811,rand
0,block_mf,0.1,1.0,0.0006555930061464266,rand
0,block_mf,0.1,1.0,0.0006556083010248949,rand
0,block_mf,0.1,1.0,0.000655565960654238,rand
0,block_mf,0.1,1.0,0.0006555878757811257,rand
0,block_mf,0.1,1.0,0.000655565148016967,rand
0,block_mf,0.1,1.0,0.0006555754220283882,rand
0,block_mf,0.1,1.0,0.0006556193046647248,rand
0,block_mf,0.1,1.0,0.0006555996665993814,rand
0,block_mf,0.1,1.0,0.0006555840375828391,rand
0,block_mf,0.1,1.0,0.0006556007536225529,rand
0,block_mf,0.1,1.0,0.0006555672299192317,rand
0,block_mf,0.1,1.0,0.000655587746590438,rand
0,block_mf,0.1,1.0,0.0006556133270649052,rand
0,block_mf,0.1,1.0,0.0006555671149446466,rand
0,block_mf,0.1,1.0,0.0006555611818947606,rand
0,block_mf,0.1,1.0,0.000655602418144175,rand
0,block_mf,0.1,1.0,0.0006553044771338053,rand
0,block_mf,0.1,1.0,0.0006555872836627136,rand
0,block_mf,0.1,1.0,0.0006551694644606217,rand
0,block_mf,0.1,1.0,0.000655573226640338,rand
0,block_mf,0.1,1.0,0.0006555682934303496,rand
0,block_mf,0.1,1.0,0.0006553579027075181,rand
0,block_mf,0.1,1.0,0.0006555932772290185,rand
0,block_mf,0.1,1.0,0.0006555708370435498,rand
0,block_mf,0.1,1.0,0.0006555748991122838,rand
0,block_mf,0.1,1.0,0.0006556028300333788,rand
0,block_mf,0.1,1.0,0.0006555963926567272,rand
0,block_mf,0.1,1.0,0.0006555347782566852,rand
0,block_mf,0.1,1.0,0.0006556051672667004,rand
0,block_mf,0.1,1.0,0.0006555605712317384,rand
0,block_mf,0.1,1.0,0.0006555945755925879,rand
0,block_mf,0.1,1.0,0.0006555530331153449,rand
0,block_mf,0.1,1.0,0.0006555767326139635,rand
0,block_mf,0.1,1.0,0.0006555905674120147,rand
0,block_mf,0.1,1.0,0.000655608729553486,rand
0,block_mf,0.1,1.0,0.0006555640962501789,rand
0,block_mf,0.1,1.0,0.0006555798857201431,rand
0,block_mf,0.1,1.0,0.000655594149564411,rand
0,block_mf,0.1,1.0,0.0006555938793205505,rand
0,block_mf,0.1,1.0,0.0006555956864192301,rand
0,block_mf,0.1,1.0,0.0006556068451253689,rand
0,block_mf,0.1,1.0,0.0006555609152819398,rand
0,block_mf,0.1,1.0,0.0006555636591911934,rand
0,block_mf,0.1,1.0,0.000655594168098344,rand
0,block_mf,0.1,1.0,0.0006555993018856113,rand
0,block_mf,0.1,1.0,0.0006549528971119375,rand
0,block_mf,0.1,1.0,0.000655562380325796,rand
0,block_mf,0.1,1.0,0.0006555702563059407,rand
0,block_mf,0.1,1.0,0.0006555910633863915,rand
0,block_mf,0.1,1.0,0.0006555875504867063,rand
0,block_mf,0.1,1.0,0.0006555519380789568,rand
0,block_mf,0.1,1.0,0.0006555758200909441,rand
0,block_mf,0.1,1.0,0.000655606785783469,rand
0,block_mf,0.1,1.0,0.0006555695730625786,rand
0,block_mf,0.1,1.0,0.000655299788063888,rand
0,block_mf,0.1,1.0,0.0006555588224137855,rand
0,block_mf,0.1,1.0,0.0006555619268823683,rand
0,block_mf,0.1,1.0,0.0006555453500766913,rand
0,block_mf,0.1,1.0,0.0006555856737980951,rand
0,block_mf,0.1,1.0,0.0006555643792503501,rand
0,block_mf,0.1,1.0,0.0006556095937772376,rand
0,block_mf,0.1,1.0,0.0006555743120172312,rand
0,block_mf,0.1,1.0,0.0006555465412624301,rand
0,block_mf,0.1,1.0,0.0006555878959515111,rand
0,block_mf,0.1,1.0,0.000655580499970481,rand
0,block_mf,0.1,1.0,0.0006555997445560421,rand
0,block_mf,0.1,1.0,0.000655568997919587,rand
0,block_mf,0.1,1.0,0.0006556090519287812,rand
0,block_mf,0.1,1.0,0.0006555820297910432,rand
0,block_mf,0.1,1.0,0.0006555761514567289,rand
0,block_mf,0.1,1.0,0.0006555793287997417,rand
0,block_mf,0.1,1.0,0.0006555914656558101,rand
0,block_mf,0.1,1.0,0.000655609045549093,rand
0,block_mf,0.1,1.0,0.0006556021301278983,rand
0,block_mf,0.1,1.0,0.0006555668989184472,rand
0,block_mf,0.1,1.0,0.0006555603923520464,rand
0,block_mf,0.1,1.0,0.0006556048371692047,rand
0,block_mf,0.1,1.0,0.0006555950530621938,rand
0,MC_simulations,0.1,1.0,-0.001531958623487256,+VE
0,MC_simulations,0.1,1.0,-0.009740727469407072,-VE
0,full_mf,0.13081774742601943,1.0,0.0008625510564259774,+VE
0,full_mf,0.13081774742601943,1.0,0.0008625111110405592,-VE
0,block_mf,0.13081774742601943,1.0,0.000859920403436308,rand
0,block_mf,0.13081774742601943,1.0,0.0008600505211780314,rand
