,control,magnetisation,mag_se,beta_factor,gradient,samp_frac,snapshot_num
0,no con,-0.6101971401527956,1.731473363552784e-05,8.0,1.0,0.001,0.0
1,unif,-0.586740795078088,1.628731923603448e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.5834882360895138,1.1667648937236492e-05,8.0,1.0,0.001,0.0
0,no con,-0.6198718342235142,9.14220609914077e-06,8.0,1.0,0.001,0.0
1,unif,-0.5855595159218444,2.0439714262604796e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.5912003583260089,1.2930776646436454e-05,8.0,1.0,0.001,0.0
0,no con,-0.611881583395308,9.384728536691929e-06,8.0,1.0,0.001,0.0
1,unif,-0.5846545128794537,2.3703222844542986e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.5918487052937597,1.8941060577722597e-05,8.0,1.0,0.001,0.0
0,no con,-0.6114483131634102,7.2882909750735565e-06,8.0,1.0,0.001,0.0
1,unif,-0.5802876546548578,1.0001515124797284e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.5852329659928334,1.4673604334719535e-05,8.0,1.0,0.001,0.0
0,no con,-0.6211319045365424,1.4323773732277931e-05,8.0,1.0,0.001,0.0
1,unif,-0.5783198769522006,1.6957243916227914e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.585616929213711,1.0654159272105377e-05,8.0,1.0,0.001,0.0
0,no con,-0.6184627543776622,1.2923229052428186e-05,8.0,1.0,0.001,0.0
1,unif,-0.5864430802515044,3.1582663405281844e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.593011479954026,1.1883150275237527e-05,8.0,1.0,0.001,0.0
0,no con,-0.6062896017848691,1.2119571524780075e-05,8.0,1.0,0.001,0.0
1,unif,-0.586808072476506,1.539917693865561e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.5836677506591846,7.327738280926932e-06,8.0,1.0,0.001,0.0
0,no con,-0.6061355080792373,1.0569657379168216e-05,8.0,1.0,0.001,0.0
1,unif,-0.5796374957744574,1.1358337541563517e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.5793733959840444,1.1134268797956572e-05,8.0,1.0,0.001,0.0
0,no con,-0.6097977486309242,9.971884229365045e-06,8.0,1.0,0.001,0.0
1,unif,-0.5868535934013926,9.933717887186176e-06,8.0,1.0,0.001,0.0
2,snapshot,-0.5866257048204989,7.07377123437523e-06,8.0,1.0,0.001,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,0.0
2,snapshot,-0.5803893448718815,8.492308958597271e-06,8.0,1.0,0.001,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5825783719829627,1.207450265698968e-05,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5845740517882496,1.2151412113581021e-05,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5876511527280103,7.930290067543924e-06,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5817715637887906,1.699789441151813e-05,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5905643634642688,5.770232705194022e-06,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5874085930633494,1.8281187982393086e-05,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5788750118315192,6.645141536540011e-06,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5860792576566831,1.0362012833185915e-05,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5823940977621527,1.527056963885261e-05,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,1.0
2,snapshot,-0.5801888783719829,2.1079026860875726e-05,8.0,1.0,0.001,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.5802783719829627,5.2021088094201205e-06,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.5853998309782975,1.1870537593764269e-05,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.5747760868095464,6.314142287584452e-06,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
