,block,beta_factor,gradient,snapshot_num,samp_frac,snapshot_mag,snapshot_grad
0,Okolie_ages_1-17,8.0,10.0,0,0.0001,-1.0,0.0
0,Okolie_ages_18-21,8.0,10.0,0,0.0001,-1.0,0.0
0,Okolie_ages_22-28,8.0,10.0,0,0.0001,-1.0,0.0
0,Okolie_ages_29-112,8.0,10.0,0,0.0001,1.0,0.0
0,Petrzalka_ages_1-17,8.0,10.0,0,0.0001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,10.0,0,0.0001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,10.0,0,0.0001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,10.0,0,0.0001,1.0,0.0
0,Ruzinov_ages_1-17,8.0,10.0,0,0.0001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,10.0,0,0.0001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,10.0,0,0.0001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,10.0,0,0.0001,-1.0,0.0
0,Okolie_ages_1-17,8.0,10.0,1,0.0001,-1.0,0.0
0,Okolie_ages_18-21,8.0,10.0,1,0.0001,-1.0,0.0
0,Okolie_ages_22-28,8.0,10.0,1,0.0001,-1.0,0.0
0,Okolie_ages_29-112,8.0,10.0,1,0.0001,1.0,0.0
0,Petrzalka_ages_1-17,8.0,10.0,1,0.0001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,10.0,1,0.0001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,10.0,1,0.0001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,10.0,1,0.0001,-1.0,0.0
0,Ruzinov_ages_1-17,8.0,10.0,1,0.0001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,10.0,1,0.0001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,10.0,1,0.0001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,10.0,1,0.0001,1.0,0.0
0,Okolie_ages_1-17,8.0,10.0,2,0.0001,-1.0,0.0
0,Okolie_ages_18-21,8.0,10.0,2,0.0001,-1.0,0.0
0,Okolie_ages_22-28,8.0,10.0,2,0.0001,-1.0,0.0
0,Okolie_ages_29-112,8.0,10.0,2,0.0001,1.0,0.0
0,Petrzalka_ages_1-17,8.0,10.0,2,0.0001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,10.0,2,0.0001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,10.0,2,0.0001,1.0,0.0
0,Petrzalka_ages_29-112,8.0,10.0,2,0.0001,-1.0,0.0
0,Ruzinov_ages_1-17,8.0,10.0,2,0.0001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,10.0,2,0.0001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,10.0,2,0.0001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,10.0,2,0.0001,1.0,0.0
0,Okolie_ages_1-17,8.0,10.0,0,0.0002782559402207126,-1.0,0.0
0,Okolie_ages_18-21,8.0,10.0,0,0.0002782559402207126,-1.0,0.0
0,Okolie_ages_22-28,8.0,10.0,0,0.0002782559402207126,-1.0,0.0
0,Okolie_ages_29-112,8.0,10.0,0,0.0002782559402207126,1.0,0.0
0,Petrzalka_ages_1-17,8.0,10.0,0,0.0002782559402207126,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,10.0,0,0.0002782559402207126,1.0,0.0
0,Petrzalka_ages_22-28,8.0,10.0,0,0.0002782559402207126,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,10.0,0,0.0002782559402207126,1.0,0.0
0,Ruzinov_ages_1-17,8.0,10.0,0,0.0002782559402207126,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,10.0,0,0.0002782559402207126,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,10.0,0,0.0002782559402207126,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,10.0,0,0.0002782559402207126,1.0,0.0
0,Okolie_ages_1-17,8.0,10.0,1,0.0002782559402207126,-1.0,0.0
0,Okolie_ages_18-21,8.0,10.0,1,0.0002782559402207126,-1.0,0.0
0,Okolie_ages_22-28,8.0,10.0,1,0.0002782559402207126,-1.0,0.0
0,Okolie_ages_29-112,8.0,10.0,1,0.0002782559402207126,1.0,0.0
0,Petrzalka_ages_1-17,8.0,10.0,1,0.0002782559402207126,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,10.0,1,0.0002782559402207126,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,10.0,1,0.0002782559402207126,0.0,1.0
