,block,beta_factor,gradient,mag,background_field
0,0,8.0,-10.0,0.17179902755267423,3.5772357723577235
1,1,8.0,-10.0,-0.23465703971119134,1.8699186991869918
2,2,8.0,-10.0,-0.3842739378566899,0.975609756097561
3,3,8.0,-10.0,-0.9959514170040485,-6.422764227642277
4,4,8.0,-10.0,0.23462088698140202,3.5772357723577235
5,5,8.0,-10.0,-0.19753086419753085,1.8699186991869918
6,6,8.0,-10.0,-0.37676729079098203,0.975609756097561
7,7,8.0,-10.0,-0.9986813186813187,-6.422764227642277
8,8,8.0,-10.0,0.3003412969283277,3.5772357723577235
9,9,8.0,-10.0,-0.26268922528940336,1.8699186991869918
10,10,8.0,-10.0,-0.425531914893617,0.975609756097561
11,11,8.0,-10.0,-0.9991511035653651,-6.422764227642277
0,0,8.0,-9.0,0.06482982171799027,3.2195121951219514
1,1,8.0,-9.0,-0.31923671995874164,1.6829268292682926
2,2,8.0,-9.0,-0.4362714013950539,0.8780487804878049
3,3,8.0,-9.0,-0.9947946790052054,-5.7804878048780495
4,4,8.0,-9.0,0.11587982832618025,3.2195121951219514
5,5,8.0,-9.0,-0.2934472934472934,1.6829268292682926
6,6,8.0,-9.0,-0.4585403133358808,0.8780487804878049
7,7,8.0,-9.0,-0.9951648351648351,-5.7804878048780495
8,8,8.0,-9.0,0.17064846416382254,3.2195121951219514
9,9,8.0,-9.0,-0.2804986642920748,1.6829268292682926
10,10,8.0,-9.0,-0.44680851063829785,0.8780487804878049
11,11,8.0,-9.0,-0.9949066213921901,-5.7804878048780495
0,0,8.0,-8.0,-0.03889789303079417,2.861788617886179
1,1,8.0,-8.0,-0.39865910263022175,1.4959349593495934
2,2,8.0,-8.0,-0.4825618262523779,0.7804878048780488
3,3,8.0,-8.0,-0.9895893580104106,-5.138211382113822
4,4,8.0,-8.0,0.017167381974248927,2.861788617886179
5,5,8.0,-8.0,-0.345679012345679,1.4959349593495934
6,6,8.0,-8.0,-0.48987390141383264,0.7804878048780488
7,7,8.0,-8.0,-0.9916483516483516,-5.138211382113822
8,8,8.0,-8.0,-0.010238907849829351,2.861788617886179
9,9,8.0,-8.0,-0.38201246660730187,1.4959349593495934
10,10,8.0,-8.0,-0.4828150572831424,0.7804878048780488
11,11,8.0,-8.0,-0.9898132427843803,-5.138211382113822
0,0,8.0,-7.0,-0.10372771474878444,2.5040650406504064
1,1,8.0,-7.0,-0.4357916451779268,1.3089430894308942
2,2,8.0,-7.0,-0.5624603677869372,0.6829268292682927
3,3,8.0,-7.0,-0.9878542510121457,-4.495934959349594
4,4,8.0,-7.0,-0.08869814020028613,2.5040650406504064
5,5,8.0,-7.0,-0.42165242165242167,1.3089430894308942
6,6,8.0,-7.0,-0.5238823079862438,0.6829268292682927
7,7,8.0,-7.0,-0.989010989010989,-4.495934959349594
8,8,8.0,-7.0,-0.06143344709897611,2.5040650406504064
9,9,8.0,-7.0,-0.41406945681211044,1.3089430894308942
10,10,8.0,-7.0,-0.5458265139116203,0.6829268292682927
11,11,8.0,-7.0,-0.9864176570458404,-4.495934959349594
0,0,8.0,-6.0,-0.2171799027552674,2.1463414634146343
1,1,8.0,-6.0,-0.49458483754512633,1.121951219512195
2,2,8.0,-6.0,-0.5478757133798351,0.5853658536585367
3,3,8.0,-6.0,-0.978021978021978,-3.853658536585366
4,4,8.0,-6.0,-0.1917024320457797,2.1463414634146343
5,5,8.0,-6.0,-0.4586894586894587,1.121951219512195
6,6,8.0,-6.0,-0.5685899885364921,0.5853658536585367
7,7,8.0,-6.0,-0.9846153846153847,-3.853658536585366
8,8,8.0,-6.0,-0.21160409556313994,2.1463414634146343
9,9,8.0,-6.0,-0.5084594835262689,1.121951219512195
10,10,8.0,-6.0,-0.5679214402618658,0.5853658536585367
11,11,8.0,-6.0,-0.9796264855687606,-3.853658536585366
0,0,8.0,-5.0,-0.3354943273905997,1.7886178861788617
1,1,8.0,-5.0,-0.5492521918514698,0.9349593495934959
2,2,8.0,-5.0,-0.611287254280279,0.4878048780487805
3,3,8.0,-5.0,-0.9658762290341237,-3.2113821138211387
4,4,8.0,-5.0,-0.2989985693848355,1.7886178861788617
5,5,8.0,-5.0,-0.5574548907882241,0.9349593495934959
6,6,8.0,-5.0,-0.596102407336645,0.4878048780487805
7,7,8.0,-5.0,-0.9679120879120879,-3.2113821138211387
8,8,8.0,-5.0,-0.32081911262798635,1.7886178861788617
9,9,8.0,-5.0,-0.5547640249332146,0.9349593495934959
10,10,8.0,-5.0,-0.5851063829787234,0.4878048780487805
11,11,8.0,-5.0,-0.9685908319185059,-3.2113821138211387
0,0,8.0,-4.0,-0.4359805510534846,1.4308943089430894
1,1,8.0,-4.0,-0.5977307890665291,0.7479674796747967
2,2,8.0,-4.0,-0.6550412175015853,0.3902439024390244
3,3,8.0,-4.0,-0.9485251590514748,-2.569105691056911
4,4,8.0,-4.0,-0.4234620886981402,1.4308943089430894
5,5,8.0,-4.0,-0.6030389363722697,0.7479674796747967
6,6,8.0,-4.0,-0.6476881925869316,0.3902439024390244
7,7,8.0,-4.0,-0.9468131868131868,-2.569105691056911
8,8,8.0,-4.0,-0.36860068259385664,1.4308943089430894
9,9,8.0,-4.0,-0.597506678539626,0.7479674796747967
10,10,8.0,-4.0,-0.6211129296235679,0.3902439024390244
11,11,8.0,-4.0,-0.9397283531409168,-2.569105691056911
0,0,8.0,-3.0,-0.5153970826580226,1.0731707317073171
1,1,8.0,-3.0,-0.6565239814337287,0.5609756097560975
2,2,8.0,-3.0,-0.6442612555485099,0.29268292682926833
3,3,8.0,-3.0,-0.9097744360902256,-1.926829268292683
4,4,8.0,-3.0,-0.5135908440629471,1.0731707317073171
5,5,8.0,-3.0,-0.6210826210826211,0.5609756097560975
6,6,8.0,-3.0,-0.6580053496369889,0.29268292682926833
7,7,8.0,-3.0,-0.912967032967033,-1.926829268292683
8,8,8.0,-3.0,-0.5290102389078498,1.0731707317073171
9,9,8.0,-3.0,-0.6455921638468388,0.5609756097560975
10,10,8.0,-3.0,-0.6595744680851063,0.29268292682926833
11,11,8.0,-3.0,-0.9100169779286927,-1.926829268292683
0,0,8.0,-2.0,-0.6029173419773096,0.7154471544715447
1,1,8.0,-2.0,-0.6936565239814337,0.37398373983739835
2,2,8.0,-2.0,-0.6753329105897273,0.1951219512195122
3,3,8.0,-2.0,-0.8484673221515326,-1.2845528455284554
4,4,8.0,-2.0,-0.575107296137339,0.7154471544715447
5,5,8.0,-2.0,-0.7084520417853751,0.37398373983739835
6,6,8.0,-2.0,-0.69239587313718,0.1951219512195122
